training,trial,selection,n
forward,1,1,3
forward,1,2,2
forward,1,3,20
forward,1,4,95
forward,2,1,6
forward,2,2,3
forward,2,3,58
forward,2,4,53
forward,3,1,83
forward,3,2,23
forward,3,3,5
forward,3,4,9
forward,4,1,59
forward,4,2,50
forward,4,3,8
forward,4,4,3
backward,1,1,50
backward,1,2,17
backward,1,3,13
backward,1,4,39
backward,2,1,21
backward,2,2,38
backward,2,3,31
backward,2,4,29
backward,3,1,11
backward,3,2,8
backward,3,3,18
backward,3,4,82
backward,4,1,12
backward,4,2,16
backward,4,3,42
backward,4,4,49
