trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,3.792275342431904e-29,2.461362098193475e-34,2.774475099060657e-06,7.844800264794612e-06
trial_a,agent,3.792275342431904e-29,2.461362098193475e-34,2.774475099060657e-06,7.844800264794612e-06
trial_a,ramp,1.234668820003572e-05,4.05595805194349e-06,3.6079583774639293e-56,1.663455102151263e-44
trial_b,physics,8.05956312399037e-58,1.791750044202799e-58,6.98054932370811e-06,7.072665584211067e-06
trial_b,agent,8.05956312399037e-58,1.791750044202799e-58,6.98054932370811e-06,7.072665584211067e-06
trial_b,ramp,9.441457903072545e-06,9.028975788861153e-06,5.729560878668706e-59,1.0637918909179696e-58
trial_c,physics,7.844800264794612e-06,2.774475099060654e-06,2.461362098193478e-34,3.792275342431926e-29
trial_c,agent,1.6634551021512335e-44,3.6079583774638497e-56,4.055958051943496e-06,1.234668820003572e-05
trial_c,ramp,1.6634551021512335e-44,3.6079583774638497e-56,4.055958051943496e-06,1.234668820003572e-05
trial_d,physics,7.072665584211082e-06,6.980549323708124e-06,1.791750044202744e-58,8.059563123990344e-58
trial_d,agent,1.0637918909179868e-58,5.7295608786690165e-59,9.028975788861151e-06,9.441457903072549e-06
trial_d,ramp,1.0637918909179868e-58,5.7295608786690165e-59,9.028975788861151e-06,9.441457903072549e-06
