parameter,value,mean_loglikelihood,std_loglikelihood,count
block_noise,0.05,-1727.8753566957903,1285.3303882291052,1703680
ramp_noise,0.5,-1474.1945154177245,774.4697773729465,1703680
bandwidth,0.5,-1951.9147844580584,1371.9645138051703,1874048
p,0.5,-1344.675508719248,477.385371117002,1703680
p,0.55,-1335.5159793128441,462.66221051949543,1703680
p,0.6,-1329.5937445517857,458.14516743560665,1703680
p,0.65,-1325.652997666296,457.12472887266824,1703680
p,0.7,-1322.6320942893747,455.17762943169413,1703680
p,0.75,-1320.2154298299706,451.25449418229687,1703680
p,0.8,-1318.6756614493806,445.3288651799381,1703680
p,0.85,-1319.2827638958947,438.71645972570974,1703680
p,0.9,-1326.113641835881,436.7909341684051,1703680
p,0.95,-1358.5806106909406,484.7175060735791,1703680
p,1.0,-1579.6455387782257,951.751672955992,1703680
q,0.25,-1360.2132647366152,575.4515669314575,1703680
q,0.3,-1354.7937199710134,556.7899151448004,1703680
q,0.35,-1350.325151402395,539.8350584682357,1703680
q,0.4,-1346.8662177072902,524.6672115954557,1703680
q,0.45,-1344.5190638811482,511.5753863502977,1703680
q,0.5,-1343.4833221193674,501.2102469356758,1703680
q,0.55,-1344.1488594644586,495.0034499092072,1703680
q,0.6,-1347.2953136853773,496.35609434940653,1703680
q,0.65,-1353.686429866081,508.7523103744691,1703680
q,0.7,-1362.548133603595,527.8142718280718,1703680
q,0.75,-1372.7044945825041,549.2247731122558,1703680
beta,100000.0,-1282.8799271078253,56.384697273418375,1171280
beta,150000.0,-1277.8308394587116,84.74750640946031,1171280
beta,200000.0,-1278.6035381151673,125.88214911968811,1171280
beta,250000.0,-1283.5486461895725,174.58627008398702,1171280
beta,300000.0,-1291.657489280404,227.83355961778793,1171280
beta,350000.0,-1302.2596339226395,284.0385247772185,1171280
beta,400000.0,-1314.883260402685,342.29936917580056,1171280
beta,450000.0,-1329.182190873332,402.05775009426753,1171280
beta,500000.0,-1344.8941966741436,462.9446114830235,1171280
beta,550000.0,-1361.8155135003014,524.7038824983832,1171280
beta,600000.0,-1379.7844247178175,587.1512785715686,1171280
beta,650000.0,-1398.6702526454046,650.1503638164395,1171280
beta,700000.0,-1418.365743789908,713.5977989571313,1171280
beta,750000.0,-1438.7816678852362,777.4138184809641,1171280
beta,800000.0,-1459.8429037867336,841.5358547021922,1171280
beta,850000.0,-1481.485547678991,905.9141419305948,1171280
r,0.01,-1358.1875635619733,569.5097435220248,2342560
r,0.03,-1352.3998130588318,545.6073612870802,2342560
r,0.05,-1350.1896241957397,530.7377803855125,2342560
r,0.07,-1349.7353971117395,520.6496766671768,2342560
r,0.09,-1350.3154297009962,513.737124027885,2342560
r,0.11,-1351.8113720157446,510.84433588068174,2342560
r,0.13,-1353.7500506902688,509.93499757058106,2342560
r,0.15,-1355.8536376791415,509.83590258389745,2342560
bandwidth,1.0,-1447.846655532878,600.031137135358,1874048
bandwidth,1.5,-1286.8511683310433,260.7738488746112,1874048
bandwidth,2.0,-1243.1165888862788,121.81506499417445,1874048
bandwidth,2.5,-1239.9706488979105,77.33340781224143,1874048
bandwidth,3.0,-1249.845913356266,64.13897011160735,1874048
bandwidth,3.5,-1262.1595862127558,55.61371603680158,1874048
bandwidth,4.0,-1273.3544246003594,47.859497310941556,1874048
bandwidth,4.5,-1282.6353991972094,41.02770090965785,1874048
bandwidth,5.0,-1290.1084405452834,35.22558215661116,1874048
ramp_noise,0.6,-1388.735049120362,617.3075878926342,1703680
ramp_noise,0.7,-1349.2696332117287,533.6538424726522,1703680
ramp_noise,0.8,-1338.7057146500317,506.74160777979597,1703680
ramp_noise,0.9,-1331.1372970162797,481.6148314485077,1703680
ramp_noise,1.0,-1329.4511800102928,470.4370994630093,1703680
ramp_noise,1.1,-1331.1693524402208,465.1452862106721,1703680
ramp_noise,1.2,-1332.2697200415002,462.5065673674348,1703680
ramp_noise,1.3,-1333.902065818611,458.41454526144287,1703680
ramp_noise,1.4,-1335.1598282788632,457.0659199981681,1703680
ramp_noise,1.5,-1336.5896150142335,456.0530139056434,1703680
block_noise,0.06,-1484.782208640188,791.0612674653132,1703680
block_noise,0.07,-1351.447257417272,490.60584936269316,1703680
block_noise,0.08,-1295.39544416033,305.28817987013406,1703680
block_noise,0.09,-1278.184338588577,237.73643989229961,1703680
block_noise,0.1,-1277.3547993652603,209.29756366062932,1703680
block_noise,0.11,-1286.5610094440124,176.96293910298604,1703680
block_noise,0.12,-1287.46652627387,173.9345388746156,1703680
block_noise,0.13,-1292.9514696193303,171.56635431897482,1703680
block_noise,0.14,-1297.738132174714,170.9975715251418,1703680
block_noise,0.15,-1300.8274286405021,170.7326914173272,1703680
