trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,7.537945933108539e-34,3.479167722531364e-38,3.154804471504777e-06,6.20238453010467e-06
trial_a,agent,7.537945933108539e-34,3.479167722531364e-38,3.154804471504777e-06,6.20238453010467e-06
trial_a,ramp,1.0801532992197133e-05,4.793150154095324e-06,3.829680970770568e-45,5.213496971179206e-40
trial_b,physics,1.8387135605509895e-214,3.538775004469417e-217,9.67608086972861e-06,9.036741062680445e-06
trial_b,agent,1.8387135605509895e-214,3.538775004469417e-217,9.67608086972861e-06,9.036741062680445e-06
trial_b,ramp,1.2835371067887217e-05,1.3126128604887342e-05,3.6159462791717345e-215,6.288337778190283e-215
trial_c,physics,6.202384530104668e-06,3.154804471504776e-06,3.479167722531391e-38,7.5379459331085925e-34
trial_c,agent,5.2134969711791705e-40,3.829680970770547e-45,4.793150154095321e-06,1.0801532992197133e-05
trial_c,ramp,5.2134969711791705e-40,3.829680970770547e-45,4.793150154095321e-06,1.0801532992197133e-05
trial_d,physics,9.03674106268045e-06,9.676080869728664e-06,3.5387750044703215e-217,1.8387135605513275e-214
trial_d,agent,6.288337778191019e-215,3.6159462791717933e-215,1.3126128604887347e-05,1.283537106788721e-05
trial_d,ramp,6.288337778191019e-215,3.6159462791717933e-215,1.3126128604887347e-05,1.283537106788721e-05
