trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,1.9158666901950413e-25,1.5918570142122972e-29,2.5608363955033537e-06,9.9626332815093e-06
trial_a,agent,1.9158666901950413e-25,1.5918570142122972e-29,2.5608363955033537e-06,9.9626332815093e-06
trial_a,ramp,1.7206136660705333e-05,4.0966193429918315e-06,5.914387781112948e-51,2.2082051549860556e-41
trial_b,physics,1.7236975888964613e-18,2.480783079047206e-19,8.29434459559503e-06,7.0732586982218045e-06
trial_b,agent,1.7236975888964613e-18,2.480783079047206e-19,8.29434459559503e-06,7.0732586982218045e-06
trial_b,ramp,3.831968474050039e-06,4.239745318854022e-06,1.1021452902981947e-12,1.2765904374926482e-12
trial_c,physics,9.962633281509305e-06,2.5608363955033545e-06,1.5918570142122885e-29,1.9158666901950263e-25
trial_c,agent,2.2082051549860875e-41,5.914387781112893e-51,4.096619342991829e-06,1.7206136660705333e-05
trial_c,ramp,2.2082051549860875e-41,5.914387781112893e-51,4.096619342991829e-06,1.7206136660705333e-05
trial_d,physics,7.073258698221811e-06,8.294344595595033e-06,2.4807830790472142e-19,1.7236975888964519e-18
trial_d,agent,1.2765904374926492e-12,1.1021452902981951e-12,4.239745318854024e-06,3.831968474050041e-06
trial_d,ramp,1.2765904374926492e-12,1.1021452902981951e-12,4.239745318854024e-06,3.831968474050041e-06
