block_noise_sd,ramp_noise_sd,total_failed_attempts,total_successful_records,failure_rate
0.05,0.5,1359,48000,0.027532972710144047
0.05,0.6,1896,48000,0.037999037999038
0.05,0.7,1995,48000,0.039903990399039906
0.05,0.8,2377,48000,0.04718423089902138
0.05,0.9,2398,48000,0.0475812532243343
0.05,1.0,2410,48000,0.04780797460821266
0.05,1.1,2408,48000,0.04777019520710998
0.05,1.2,2359,48000,0.04684366250322683
0.05,1.3,2358,48000,0.04682473489812939
0.05,1.4,2093,48000,0.04178228494999301
0.05,1.5,2148,48000,0.04283321368748504
0.05,1.6,2063,48000,0.04120807782194435
0.05,1.7,1945,48000,0.038942837120832914
0.05,1.8,1931,48000,0.038673369249564396
0.05,1.9,1818,48000,0.036492833915452244
0.05,2.0,1672,48000,0.033660814946046065
0.07,0.5,1359,48000,0.027532972710144047
0.07,0.6,1896,48000,0.037999037999038
0.07,0.7,1995,48000,0.039903990399039906
0.07,0.8,2377,48000,0.04718423089902138
0.07,0.9,2398,48000,0.0475812532243343
0.07,1.0,2410,48000,0.04780797460821266
0.07,1.1,2408,48000,0.04777019520710998
0.07,1.2,2359,48000,0.04684366250322683
0.07,1.3,2358,48000,0.04682473489812939
0.07,1.4,2093,48000,0.04178228494999301
0.07,1.5,2148,48000,0.04283321368748504
0.07,1.6,2063,48000,0.04120807782194435
0.07,1.7,1945,48000,0.038942837120832914
0.07,1.8,1931,48000,0.038673369249564396
0.07,1.9,1818,48000,0.036492833915452244
0.07,2.0,1672,48000,0.033660814946046065
0.09,0.5,1359,48000,0.027532972710144047
0.09,0.6,1896,48000,0.037999037999038
0.09,0.7,1995,48000,0.039903990399039906
0.09,0.8,2377,48000,0.04718423089902138
0.09,0.9,2398,48000,0.0475812532243343
0.09,1.0,2410,48000,0.04780797460821266
0.09,1.1,2408,48000,0.04777019520710998
0.09,1.2,2359,48000,0.04684366250322683
0.09,1.3,2358,48000,0.04682473489812939
0.09,1.4,2093,48000,0.04178228494999301
0.09,1.5,2148,48000,0.04283321368748504
0.09,1.6,2063,48000,0.04120807782194435
0.09,1.7,1945,48000,0.038942837120832914
0.09,1.8,1931,48000,0.038673369249564396
0.09,1.9,1818,48000,0.036492833915452244
0.09,2.0,1672,48000,0.033660814946046065
0.11,0.5,1359,48000,0.027532972710144047
0.11,0.6,1896,48000,0.037999037999038
0.11,0.7,1995,48000,0.039903990399039906
0.11,0.8,2377,48000,0.04718423089902138
0.11,0.9,2398,48000,0.0475812532243343
0.11,1.0,2410,48000,0.04780797460821266
0.11,1.1,2408,48000,0.04777019520710998
0.11,1.2,2359,48000,0.04684366250322683
