trial,element,block_noise_sd,ramp_noise_sd,block_noise_down,ramp_noise_down,block_noise_up,ramp_noise_up,final_position_down,final_position_up,agent_valid,physics_valid,ramp_valid
a,black_block,0.25,0.0,0.13278773562974017,0.0,0.8978662341494948,0.0,902.0324387217795,838.1819252197953,True,True,False
a,black_block,0.25,0.0,-0.2206150821265594,0.0,0.8934705175733912,0.0,1326.6118189622412,838.479199157438,True,True,False
a,black_block,0.25,0.0,0.27997970932518873,0.0,0.8305770917755513,0.0,855.6456645776218,840.7161927669284,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.6712613560929771,0.0,1.4197525854345157,955.9425907333753,859.0200904227886,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.1250414478420354,0.0,1.6870413768827084,645.100814440709,791.8386196773325,False,False,False
b,blue_ramp,0.0,1.7,0.0,1.1380971544561482,0.0,1.8716517137514097,875.9184769370589,591.7007884433597,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.8694335712780737,0.0,1.8902595476767452,917.1294454108756,592.3545332018996,True,True,False
b,blue_ramp,0.0,1.7,0.0,4.306233939704449,0.0,1.8934712651377241,645.1013007938984,592.4674023507374,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.3785667775834735,0.0,2.6089050565108534,1003.8868091592765,611.8125832360703,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.6418999371127164,0.0,0.8126205738235617,957.1774735961383,1053.448282952924,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.395918366144747,0.0,1.6436944166032823,996.4434943986153,806.0367504756922,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.5807571926110944,0.0,0.4836671939538583,645.1008140271882,433.56567531547677,False,False,True
b,blue_ramp,0.0,1.7,0.0,1.646567229321424,0.0,1.2952243524979277,797.429141542491,890.8977464846865,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.4871136255284294,0.0,0.9219906022294749,823.9184099712137,1020.5484470114403,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.272251430532975,0.0,0.9734637795215928,645.100770386564,999.8645614749344,False,False,False
b,blue_ramp,0.0,1.7,0.0,3.575159212735166,0.0,0.933778878252141,645.1026976846996,1018.3334445598812,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.3816031633156278,0.0,2.4113685396056,1002.579941726442,607.3824018920571,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.2383518409968333,0.0,0.639050273843752,645.1007992816268,472.00699665788517,False,False,True
b,blue_ramp,0.0,1.7,0.0,6.105490392216565,0.0,0.34598306088051944,645.071768657504,355.4310143156492,False,False,True
b,blue_ramp,0.0,1.7,0.0,2.4932120522127366,0.0,0.8720653852785317,645.1007355389808,539.9716448698854,False,False,False
b,blue_ramp,0.0,1.7,0.0,2.7146507874364296,0.0,1.6743270106974713,645.1009593925753,798.9935744274894,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.640510906647667,0.0,2.757000012160508,957.8038039050296,614.72111720071,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.0835130676880749,0.0,2.9064965206261393,884.4996429931597,617.3663092311552,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.5866834831562315,0.0,1.2779719598829384,969.3841844592733,900.2512159420012,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.431589594179163,0.0,0.3260044481714808,645.1006877054848,365.728211911723,False,False,True
b,blue_ramp,0.0,1.7,0.0,0.06398043258291887,0.0,1.608824589140615,1047.3876632063527,814.742205741505,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.5509702793325585,0.0,3.448362448713467,972.0970792399428,631.5950345291179,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.5599013180478143,0.0,0.9179325630085308,968.4221828034133,1021.923350235594,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.0128049186064687,0.0,1.1955294944104347,645.0471127668543,924.596119972617,False,False,False
b,blue_ramp,0.0,1.7,0.0,-0.05757360782941865,0.0,4.300908045265519,1076.067197274241,634.5290557910664,True,True,False
b,blue_ramp,0.0,1.7,0.0,4.278227443071693,0.0,0.8602940320268725,645.1013927832417,1035.3248200374962,False,False,False
b,blue_ramp,0.0,1.7,0.0,1.0360900175107985,0.0,1.6249909847691386,894.4150885474122,811.0847501437465,True,True,False
b,blue_ramp,0.0,1.7,0.0,-0.10118998830233811,0.0,1.1101577350556435,1071.8116724603608,947.5860977069534,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.624287401903958,0.0,1.6053367870998259,802.5536624646171,581.4120715125166,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.8371063841270283,0.0,3.2524537503460076,922.6407009300051,623.962740058383,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.6294689728217127,0.0,1.4890479181414067,962.8002922725066,844.6681272123884,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.9485848112805786,0.0,0.7608131091810995,645.1011190143211,1078.0957258536318,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.716191210473137,0.0,1.8167872331765056,946.9333712580952,589.6989355134247,True,True,False
