workerid,proliferate.condition,accuracy,accuracy_bool,age,bonus,condition,correct_img,correct_key,correct_response,ethnicity,failed_audio,failed_images,failed_video,feedback,gender,hidden_img,img_selected,internal_node_id,overall_accuracy,question_order,race,response,rt,stimulus,success,time_elapsed,timeout,trial,trial_index,trial_type,view_history,error
968,lc_lc,,,,,lc_lc,,,,,[],[],[],,,,,0.0-0.0,,,,,,,True,131,False,,0,preload,,
968,lc_lc,,,,,lc_lc,,,,,[],[],[],,,,,0.0-1.0,,,,,,,True,232,False,,1,preload,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-2.0,,,,,,,True,6985,,,2,fullscreen,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-3.0,,,,0,9491,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,16478,,,3,html-button-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-4.0-0.0,,,,,16750,,,33229,,instructions_pt1,4,instructions,"[{'page_index': 0, 'viewing_time': 3234}, {'page_index': 1, 'viewing_time': 4697}, {'page_index': 2, 'viewing_time': 2814}, {'page_index': 3, 'viewing_time': 3941}, {'page_index': 4, 'viewing_time': 2064}]",
968,lc_lc,True,,,,lc_lc,,,j,,,,,,,,,0.0-4.0-1.0-0.0,,,,j,6800,blicket_images/red_pyramid.jpg,,40037,,comprehension_quiz,5,image-keyboard-response,,
968,lc_lc,True,,,,lc_lc,,, ,,,,,,,,,0.0-4.0-1.0-1.0,,,, ,2464,blicket_images/red_pyramid_on.jpg,,42503,,comprehension_quiz,6,image-keyboard-response,,
968,lc_lc,True,,,,lc_lc,,,f,,,,,,,,,0.0-4.0-1.0-2.0,,,,f,4774,blicket_images/purple_prism.jpg,,47278,,comprehension_quiz,7,image-keyboard-response,,
968,lc_lc,True,,,,lc_lc,,, ,,,,,,,,,0.0-4.0-1.0-3.0,,,, ,1570,blicket_images/purple_prism_off.jpg,,48849,,comprehension_quiz,8,image-keyboard-response,,
968,lc_lc,,,,,lc_lc,,,,,,,,,,,,0.0-5.0,,,,,40128,,,88978,,,9,instructions,"[{'page_index': 0, 'viewing_time': 5627}, {'page_index': 1, 'viewing_time': 1536}, {'page_index': 2, 'viewing_time': 1358}, {'page_index': 3, 'viewing_time': 1203}, {'page_index': 4, 'viewing_time': 945}, {'page_index': 5, 'viewing_time': 9607}, {'page_index': 6, 'viewing_time': 9563}, {'page_index': 7, 'viewing_time': 9251}, {'page_index': 8, 'viewing_time': 1038}]",
