workerid,proliferate.condition,age,bonus,ethnicity,feedback,gender,internal_node_id,overall_accuracy,race,response,rt,rule,time_elapsed,trial,trial_index,trial_type,error
404,color_on,48,0.75,Non-Hispanic,I paid attention to shape and color to determine what made a blicket.,Female,0.0-41.0,0.9375,White,"{'age': '48', 'race': 'White', 'gender': 'Female', 'feedback': 'I paid attention to shape and color to determine what made a blicket.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",29393,dark,163826,exit_survey,45,survey-html-form,
438,color_on,62,0.75,Non-Hispanic,Got the first two by accident and then went with a dark theme.,Male,0.0-41.0,0.9375,White,"{'age': '62', 'race': 'White', 'gender': 'Male', 'feedback': 'Got the first two by accident and then went with a dark theme.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",46372,dark,215799,exit_survey,45,survey-html-form,
343,color_on,19,0.75,Non-Hispanic,"At first, I thought that the light-colored meant it was on, so almost like the light was on. But I came to find out the dark meant it was on ",Female,0.0-41.0,0.9375,White,"{'age': '19', 'race': 'White', 'gender': 'Female', 'feedback': 'At first, I thought that the light-colored meant it was on, so almost like the light was on. But I came to find out the dark meant it was on ', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",62633,dark,285342,exit_survey,45,survey-html-form,
390,color_on,54,0.75,Non-Hispanic,,Female,0.0-41.0,0.9375,White,"{'age': '54', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",12429,dark,305737,exit_survey,51,survey-html-form,
462,color_on,34,0.75,Non-Hispanic,I tried to first note if the shape and/or color was the determining factor and then used that information to guide my choices.,Female,0.0-41.0,0.9375,White,"{'age': '34', 'race': 'White', 'gender': 'Female', 'feedback': 'I tried to first note if the shape and/or color was the determining factor and then used that information to guide my choices.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",37485,light,125552,exit_survey,45,survey-html-form,
360,color_on,33,0.75,Non-Hispanic,I just noticed which color worked,Female,0.0-41.0,0.9375,,"{'age': '33', 'gender': 'Female', 'feedback': 'I just noticed which color worked', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",25191,dark,200378,exit_survey,51,survey-html-form,
424,color_on,34,0.75,Non-Hispanic,not sure how to answer. it became clear the black ones were the thing,Male,0.0-41.0,0.9375,White,"{'age': '34', 'race': 'White', 'gender': 'Male', 'feedback': 'not sure how to answer. it became clear the black ones were the thing', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",24187,dark,101979,exit_survey,45,survey-html-form,
412,color_on,29,0.8,Hispanic,"I was initially just putting yes to see if it was correct. When I saw the two gray ones had both been correct with yes, I figured the black one could possibly be no. Once my theory proved true, I connected yes and no with the colors of the blocks.",Female,0.0-41.0,1,White,"{'age': '29', 'race': 'White', 'gender': 'Female', 'feedback': 'I was initially just putting yes to see if it was correct. When I saw the two gray ones had both been correct with yes, I figured the black one could possibly be no. Once my theory proved true, I connected yes and no with the colors of the blocks.', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",99734,light,296537,exit_survey,45,survey-html-form,
368,color_on,38,0.75,Non-Hispanic,,Male,0.0-41.0,0.9375,White,"{'age': '38', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",9118,dark,136567,exit_survey,51,survey-html-form,
416,color_on,75,0.7000000000000001,Non-Hispanic,I used trial or error to see which factor indicated bliketness.,Male,0.0-41.0,0.875,White,"{'age': '75', 'race': 'White', 'gender': 'Male', 'feedback': 'I used trial or error to see which factor indicated bliketness.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",60859,light,312282,exit_survey,45,survey-html-form,
376,color_on,36,0.8,Non-Hispanic,I quickly deduced that blickets were determined by color and answered the rest of the questions based on that.  No questions.,Male,0.0-41.0,1,Asian,"{'age': '36', 'race': 'Asian', 'gender': 'Male', 'feedback': 'I quickly deduced that blickets were determined by color and answered the rest of the questions based on that.  No questions.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",42038,dark,144624,exit_survey,45,survey-html-form,
364,color_on,29,0.75,,I guessed until I figured it out.,Female,0.0-41.0,0.9375,Asian,"{'age': '29', 'race': 'Asian', 'gender': 'Female', 'feedback': 'I guessed until I figured it out.', 'other_race': '', 'other_gender': ''}",25172,light,122579,exit_survey,45,survey-html-form,
434,color_on,31,0.7000000000000001,Non-Hispanic,"I just saw that the dark blocks were correct, and light ones were not.",Female,0.0-41.0,0.875,White,"{'age': '31', 'race': 'White', 'gender': 'Female', 'feedback': 'I just saw that the dark blocks were correct, and light ones were not.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",22920,dark,135069,exit_survey,45,survey-html-form,
347,color_on,26,0.7000000000000001,Non-Hispanic,,Male,0.0-41.0,0.875,Asian,"{'age': '26', 'race': 'Asian', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",21245,dark,185107,exit_survey,45,survey-html-form,
384,color_on,22,0.8,Non-Hispanic,,Female,0.0-41.0,1,White,"{'age': '22', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",17044,dark,149065,exit_survey,45,survey-html-form,
372,color_on,38,0.65,Non-Hispanic,n/a,Male,0.0-41.0,0.8125,White,"{'age': '38', 'race': 'White', 'gender': 'Male', 'feedback': 'n/a', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",13429,dark,162206,exit_survey,51,survey-html-form,
