workerid,proliferate.condition,accuracy,accuracy_bool,age,bonus,correct_img,correct_key,correct_response,ethnicity,failed_audio,failed_images,failed_video,feedback,gender,hidden_img,img_selected,internal_node_id,overall_accuracy,question_order,race,response,rt,rule,stimulus,success,time_elapsed,timeout,trial,trial_index,trial_type,view_history,error
650,color_on,,,,,,,,,[],[],[],,,,,0.0-0.0,,,,,,light,,True,91,False,,0,preload,,
650,color_on,,,,,,,,,[],[],[],,,,,0.0-1.0,,,,,,light,,True,124,False,,1,preload,,
650,color_on,,,,,,,,,,,,,,,,0.0-2.0,,,,,,light,,True,3478,,,2,fullscreen,,
650,color_on,,,,,,,,,,,,,,,,0.0-3.0,,,,0,2188,light,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,5667,,,3,html-button-response,,
650,color_on,,,,,,,,,,,,,,,,0.0-4.0-0.0,,,,,13880,light,,,19548,,instructions_pt1,4,instructions,"[{'page_index': 0, 'viewing_time': 2259}, {'page_index': 1, 'viewing_time': 2214}, {'page_index': 2, 'viewing_time': 3242}, {'page_index': 3, 'viewing_time': 4528}, {'page_index': 4, 'viewing_time': 1636}]",
650,color_on,True,,,,,,j,,,,,,,,,0.0-4.0-1.0-0.0,,,,j,4451,light,blicket_images/red_pyramid.jpg,,24010,,comprehension_quiz,5,image-keyboard-response,,
650,color_on,True,,,,,, ,,,,,,,,,0.0-4.0-1.0-1.0,,,, ,1469,light,blicket_images/red_pyramid_on.jpg,,25481,,comprehension_quiz,6,image-keyboard-response,,
650,color_on,True,,,,,,f,,,,,,,,,0.0-4.0-1.0-2.0,,,,f,4727,light,blicket_images/purple_prism.jpg,,30209,,comprehension_quiz,7,image-keyboard-response,,
650,color_on,True,,,,,, ,,,,,,,,,0.0-4.0-1.0-3.0,,,, ,1175,light,blicket_images/purple_prism_off.jpg,,31385,,comprehension_quiz,8,image-keyboard-response,,
650,color_on,,,,,,,,,,,,,,,,0.0-5.0,,,,,21757,light,,,53143,,,9,instructions,"[{'page_index': 0, 'viewing_time': 1878}, {'page_index': 1, 'viewing_time': 1667}, {'page_index': 2, 'viewing_time': 846}, {'page_index': 3, 'viewing_time': 1266}, {'page_index': 4, 'viewing_time': 1075}, {'page_index': 5, 'viewing_time': 5578}, {'page_index': 6, 'viewing_time': 4006}, {'page_index': 7, 'viewing_time': 4448}, {'page_index': 8, 'viewing_time': 994}]",
650,color_on,True,1,,,,j,on,,,,,,,blicket_images/ls.jpg,,0.0-6.0,,,,j,2633,light,blicket_images/ls.jpg,,55777,,blicket,10,image-keyboard-response,,
650,color_on,,,,,,,,,,,,,,blicket_images/ls.jpg,,0.0-7.0,,,, ,3527,light,blicket_images/ls_on.jpg,,59306,,feedback,11,image-keyboard-response,,
650,color_on,True,1,,,,f,off,,,,,,,blicket_images/dc.jpg,,0.0-8.0,,,,f,2022,light,blicket_images/dc.jpg,,61329,,blicket,12,image-keyboard-response,,
650,color_on,,,,,,,,,,,,,,blicket_images/dc.jpg,,0.0-9.0,,,, ,1455,light,blicket_images/dc_off.jpg,,62786,,feedback,13,image-keyboard-response,,
650,color_on,True,1,,,,j,on,,,,,,,blicket_images/ls.jpg,,0.0-10.0,,,,j,3200,light,blicket_images/ls.jpg,,65994,,blicket,14,image-keyboard-response,,
