workerid,proliferate.condition,accuracy,accuracy_bool,correct_img,correct_key,correct_response,hidden_img,img_selected,internal_node_id,question_order,response,rt,rule,stimulus,time_elapsed,trial,trial_index,trial_type,error
650,color_on,True,1,,j,on,blicket_images/ls.jpg,,0.0-6.0,,j,2633,light,blicket_images/ls.jpg,55777,blicket,10,image-keyboard-response,
650,color_on,True,1,,f,off,blicket_images/dc.jpg,,0.0-8.0,,f,2022,light,blicket_images/dc.jpg,61329,blicket,12,image-keyboard-response,
650,color_on,True,1,,j,on,blicket_images/ls.jpg,,0.0-10.0,,j,3200,light,blicket_images/ls.jpg,65994,blicket,14,image-keyboard-response,
650,color_on,True,1,,j,on,blicket_images/lc.jpg,,0.0-12.0,,j,1943,light,blicket_images/lc.jpg,68634,blicket,16,image-keyboard-response,
650,color_on,True,1,,j,on,blicket_images/ls.jpg,,0.0-14.0,,j,848,light,blicket_images/ls.jpg,70010,blicket,18,image-keyboard-response,
650,color_on,True,1,,f,off,blicket_images/dc.jpg,,0.0-16.0,,f,671,light,blicket_images/dc.jpg,71266,blicket,20,image-keyboard-response,
650,color_on,True,1,,j,on,blicket_images/lc.jpg,,0.0-18.0,,j,615,light,blicket_images/lc.jpg,72490,blicket,22,image-keyboard-response,
650,color_on,True,1,,f,off,blicket_images/ds.jpg,,0.0-20.0,,f,583,light,blicket_images/ds.jpg,73602,blicket,24,image-keyboard-response,
650,color_on,True,1,,f,off,blicket_images/dc.jpg,,0.0-22.0,,f,583,light,blicket_images/dc.jpg,74705,blicket,26,image-keyboard-response,
650,color_on,True,1,,f,off,blicket_images/ds.jpg,,0.0-24.0,,f,559,light,blicket_images/ds.jpg,75770,blicket,28,image-keyboard-response,
650,color_on,True,1,,j,on,blicket_images/ls.jpg,,0.0-26.0,,j,583,light,blicket_images/ls.jpg,76842,blicket,30,image-keyboard-response,
650,color_on,True,1,,f,off,blicket_images/ds.jpg,,0.0-28.0,,f,543,light,blicket_images/ds.jpg,77914,blicket,32,image-keyboard-response,
650,color_on,True,1,,f,off,blicket_images/dc.jpg,,0.0-30.0,,f,551,light,blicket_images/dc.jpg,78977,blicket,34,image-keyboard-response,
650,color_on,True,1,,j,on,blicket_images/lc.jpg,,0.0-32.0,,j,597,light,blicket_images/lc.jpg,80042,blicket,36,image-keyboard-response,
650,color_on,True,1,,f,off,blicket_images/ds.jpg,,0.0-34.0,,f,559,light,blicket_images/ds.jpg,81073,blicket,38,image-keyboard-response,
650,color_on,True,1,,j,on,blicket_images/ls.jpg,,0.0-36.0,,j,591,light,blicket_images/ls.jpg,82114,blicket,40,image-keyboard-response,
650,color_on,True,1,blicket_images/ls.jpg,,ls,,blicket_images/ls.jpg,0.0-37.0,,ls,3005,light,"Which of these options shows the image from the last trial, that you just saw?",85120,pop_quiz,41,html-button-response,
650,color_on,True,1,,,"['lc', 'ls']",,,0.0-38.0,[0],"['lc', 'ls']",5366,light,,90491,rule_question,42,survey-multi-select,
