workerid,proliferate.condition,accuracy,accuracy_bool,age,bonus,correct_img,correct_key,correct_response,ethnicity,failed_audio,failed_images,failed_video,feedback,gender,hidden_img,img_selected,internal_node_id,overall_accuracy,question_order,race,response,rt,rule,stimulus,success,time_elapsed,timeout,trial,trial_index,trial_type,view_history,error
815,color_on,,,,,,,,,[],[],[],,,,,0.0-0.0,,,,,,cylinder,,True,72,False,,0,preload,,
815,color_on,,,,,,,,,[],[],[],,,,,0.0-1.0,,,,,,cylinder,,True,134,False,,1,preload,,
815,color_on,,,,,,,,,,,,,,,,0.0-2.0,,,,,,cylinder,,True,2272,,,2,fullscreen,,
815,color_on,,,,,,,,,,,,,,,,0.0-3.0,,,,0,2033,cylinder,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,4307,,,3,html-button-response,,
815,color_on,,,,,,,,,,,,,,,,0.0-4.0-0.0,,,,,6471,cylinder,,,10779,,instructions_pt1,4,instructions,"[{'page_index': 0, 'viewing_time': 948}, {'page_index': 1, 'viewing_time': 1268}, {'page_index': 2, 'viewing_time': 687}, {'page_index': 3, 'viewing_time': 1857}, {'page_index': 4, 'viewing_time': 1710}]",
815,color_on,True,,,,,,j,,,,,,,,,0.0-4.0-1.0-0.0,,,,j,3523,cylinder,blicket_images/red_pyramid.jpg,,14312,,comprehension_quiz,5,image-keyboard-response,,
815,color_on,True,,,,,, ,,,,,,,,,0.0-4.0-1.0-1.0,,,, ,1387,cylinder,blicket_images/red_pyramid_on.jpg,,15700,,comprehension_quiz,6,image-keyboard-response,,
815,color_on,True,,,,,,f,,,,,,,,,0.0-4.0-1.0-2.0,,,,f,2521,cylinder,blicket_images/purple_prism.jpg,,18222,,comprehension_quiz,7,image-keyboard-response,,
815,color_on,True,,,,,, ,,,,,,,,,0.0-4.0-1.0-3.0,,,, ,1267,cylinder,blicket_images/purple_prism_off.jpg,,19491,,comprehension_quiz,8,image-keyboard-response,,
815,color_on,,,,,,,,,,,,,,,,0.0-5.0,,,,,25130,cylinder,,,44623,,,9,instructions,"[{'page_index': 0, 'viewing_time': 2844}, {'page_index': 1, 'viewing_time': 1753}, {'page_index': 2, 'viewing_time': 758}, {'page_index': 3, 'viewing_time': 1105}, {'page_index': 4, 'viewing_time': 810}, {'page_index': 5, 'viewing_time': 4615}, {'page_index': 6, 'viewing_time': 6762}, {'page_index': 7, 'viewing_time': 5501}, {'page_index': 8, 'viewing_time': 983}]",
815,color_on,True,1,,,,j,on,,,,,,,blicket_images/dc.jpg,,0.0-6.0,,,,j,1723,cylinder,blicket_images/dc.jpg,,46348,,blicket,10,image-keyboard-response,,
815,color_on,,,,,,,,,,,,,,blicket_images/dc.jpg,,0.0-7.0,,,, ,1758,cylinder,blicket_images/dc_on.jpg,,48109,,feedback,11,image-keyboard-response,,
815,color_on,False,0,,,,f,off,,,,,,,blicket_images/ds.jpg,,0.0-8.0,,,,j,1241,cylinder,blicket_images/ds.jpg,,49351,,blicket,12,image-keyboard-response,,
815,color_on,True,1,,,blicket_images/ds.jpg,,ds,,,,,,,,blicket_images/ds.jpg,0.0-9.0,,,,ds,3427,cylinder,"Which of these options shows the image from the last trial, that you just saw?",,52780,,pop_quiz,13,html-button-response,,
815,color_on,False,0,,,,,"['dc', 'lc']",,,,,,,,,0.0-10.0,,[0],,['dc'],4823,cylinder,,,57611,,rule_question,14,survey-multi-select,,
815,color_on,,,,,,,,,,,,,,,,0.0-11.0,,,,0,6067,cylinder,"<p>Thank you for participating!</p>You answered 1 out of 2 trials correctly, and will recieve a 3 cent bonus.<p>Now you will complete a short survey before finishing the experiment.</p>",,63682,,,15,html-button-response,,
815,color_on,,,30,0.025,,,,Non-Hispanic,,,,,Male,,,0.0-12.0,0.5,,White,"{'age': '30', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",8474,cylinder,,,72161,,exit_survey,16,survey-html-form,,
749,color_on,,,,,,,,,[],[],[],,,,,0.0-0.0,,,,,,dark,,True,252,False,,0,preload,,
749,color_on,,,,,,,,,[],[],[],,,,,0.0-1.0,,,,,,dark,,True,569,False,,1,preload,,
749,color_on,,,,,,,,,,,,,,,,0.0-2.0,,,,,,dark,,True,4418,,,2,fullscreen,,
749,color_on,,,,,,,,,,,,,,,,0.0-3.0,,,,0,4274,dark,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,8696,,,3,html-button-response,,
749,color_on,,,,,,,,,,,,,,,,0.0-4.0-0.0,,,,,14227,dark,,,22924,,instructions_pt1,4,instructions,"[{'page_index': 0, 'viewing_time': 4258}, {'page_index': 1, 'viewing_time': 2370}, {'page_index': 2, 'viewing_time': 1920}, {'page_index': 3, 'viewing_time': 2719}, {'page_index': 4, 'viewing_time': 2960}]",
749,color_on,True,,,,,,j,,,,,,,,,0.0-4.0-1.0-0.0,,,,j,9285,dark,blicket_images/red_pyramid.jpg,,32226,,comprehension_quiz,5,image-keyboard-response,,
749,color_on,True,,,,,, ,,,,,,,,,0.0-4.0-1.0-1.0,,,, ,1059,dark,blicket_images/red_pyramid_on.jpg,,33287,,comprehension_quiz,6,image-keyboard-response,,
749,color_on,True,,,,,,f,,,,,,,,,0.0-4.0-1.0-2.0,,,,f,2103,dark,blicket_images/purple_prism.jpg,,35393,,comprehension_quiz,7,image-keyboard-response,,
749,color_on,True,,,,,, ,,,,,,,,,0.0-4.0-1.0-3.0,,,, ,1673,dark,blicket_images/purple_prism_off.jpg,,37067,,comprehension_quiz,8,image-keyboard-response,,
