workerid,proliferate.condition,accuracy,accuracy_bool,accuracy_finish_line,choices,condition,correct,correct_response,crosses,end_posision,end_position,internal_node_id,question_order,response,rt,selected_position,stimulus,surprise_setup,time_elapsed,trial,trial_index,trial_type,error
1111,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-5.0-0.0,,Yes,3240,,stimuli/lb_hb_c_first.jpg,,49928,prediction_trial,7,image-button-response,
1111,1_cube_black,,0,,,1,False,No,False,,1,0.0-6.0-0.0,,Yes,2646,,stimuli/hr_ly_c_first.jpg,,62323,prediction_trial,10,image-button-response,
1111,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-7.0-0.0,,Yes,2381,,stimuli/lb_hb_c_first.jpg,,73926,prediction_trial,13,image-button-response,
1111,1_cube_black,,0,,,1,False,No,False,,0,0.0-8.0-0.0,,Yes,2553,,stimuli/hr_hb_c_first.jpg,,86134,prediction_trial,16,image-button-response,
1111,1_cube_black,,0,,,1,False,Yes,True,,3,0.0-9.0-0.0,,No,2593,,stimuli/lb_ly_c_first.jpg,,102218,prediction_trial,19,image-button-response,
1111,1_cube_black,,1,,,1,True,No,False,,0,0.0-10.0-0.0,,No,1897,,stimuli/hr_hb_c_first.jpg,,113825,prediction_trial,22,image-button-response,
1111,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-11.0-0.0,,Yes,1806,,stimuli/lb_hb_c_first.jpg,,123382,prediction_trial,25,image-button-response,
1111,1_cube_black,,1,,,1,True,No,False,,1,0.0-12.0-0.0,,No,2973,,stimuli/hr_ly_c_first.jpg,,135804,prediction_trial,28,image-button-response,
1111,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-13.0-0.0,,Yes,2260,,stimuli/lb_ly_c_first.jpg,,147008,prediction_trial,31,image-button-response,
1111,1_cube_black,,1,,,1,True,No,False,,1,0.0-14.0-0.0,,No,1519,,stimuli/hr_ly_c_first.jpg,,157740,prediction_trial,34,image-button-response,
1111,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-15.0-0.0,,Yes,1676,,stimuli/lb_hb_c_first.jpg,,167703,prediction_trial,37,image-button-response,
1111,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-16.0-0.0,,Yes,2329,,stimuli/lb_ly_c_first.jpg,,179053,prediction_trial,40,image-button-response,
1111,1_cube_black,,1,,,1,True,No,False,,0,0.0-17.0-0.0,,No,1610,,stimuli/hr_hb_c_first.jpg,,190167,prediction_trial,43,image-button-response,
1111,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-18.0-0.0,,Yes,1018,,stimuli/lb_ly_c_first.jpg,,199404,prediction_trial,46,image-button-response,
1111,1_cube_black,,1,,,1,True,No,False,,0,0.0-19.0-0.0,,No,2398,,stimuli/hr_hb_c_first.jpg,,211134,prediction_trial,49,image-button-response,
1111,1_cube_black,,1,,,1,True,No,False,,1,0.0-20.0-0.0,,No,1683,,stimuli/hr_ly_c_first.jpg,,220545,prediction_trial,52,image-button-response,
1111,1_cube_black,False,,True,"['<br><img src=stimuli/r_b_0.jpg style=width:256px></img', '<br><img src=stimuli/r_b_1.jpg style=width:256px></img', '<br><img src=stimuli/r_b_2.jpg style=width:256px></img', '<br><img src=stimuli/r_b_3.jpg style=width:256px></img']",1,,,,0,,0.0-22.0,[0],<br><img src=stimuli/r_b_1.jpg style=width:256px></img,11125,1,,hr_hb_c,243605,surprise_quiz,56,survey-multi-choice,
1111,1_cube_black,True,,True,"['<br><img src=stimuli/r_y_0.jpg style=width:256px></img', '<br><img src=stimuli/r_y_1.jpg style=width:256px></img', '<br><img src=stimuli/r_y_2.jpg style=width:256px></img', '<br><img src=stimuli/r_y_3.jpg style=width:256px></img']",1,,,,1,,0.0-23.0,[0],<br><img src=stimuli/r_y_1.jpg style=width:256px></img,5176,1,,hr_ly_c,248783,surprise_quiz,57,survey-multi-choice,
1111,1_cube_black,False,,True,"['<br><img src=stimuli/b_y_0.jpg style=width:256px></img', '<br><img src=stimuli/b_y_1.jpg style=width:256px></img', '<br><img src=stimuli/b_y_2.jpg style=width:256px></img', '<br><img src=stimuli/b_y_3.jpg style=width:256px></img']",1,,,,3,,0.0-24.0,[0],<br><img src=stimuli/b_y_2.jpg style=width:256px></img,5104,2,,lb_ly_c,253889,surprise_quiz,58,survey-multi-choice,
1111,1_cube_black,True,,True,"['<br><img src=stimuli/b_b_0.jpg style=width:256px></img', '<br><img src=stimuli/b_b_1.jpg style=width:256px></img', '<br><img src=stimuli/b_b_2.jpg style=width:256px></img', '<br><img src=stimuli/b_b_3.jpg style=width:256px></img']",1,,,,2,,0.0-25.0,[0],<br><img src=stimuli/b_b_2.jpg style=width:256px></img,5499,2,,lb_hb_c,259389,surprise_quiz,59,survey-multi-choice,
1185,1_cube_black,,0,,,1,False,No,False,,1,0.0-5.0-0.0,,Yes,5795,,stimuli/hr_ly_c_first.jpg,,66365,prediction_trial,7,image-button-response,
1185,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-6.0-0.0,,Yes,2288,,stimuli/lb_ly_c_first.jpg,,93627,prediction_trial,10,image-button-response,
1185,1_cube_black,,1,,,1,True,No,False,,1,0.0-7.0-0.0,,No,3014,,stimuli/hr_ly_c_first.jpg,,109330,prediction_trial,13,image-button-response,
1185,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-8.0-0.0,,Yes,4486,,stimuli/lb_hb_c_first.jpg,,122211,prediction_trial,16,image-button-response,
1185,1_cube_black,,0,,,1,False,No,False,,0,0.0-9.0-0.0,,Yes,4276,,stimuli/hr_hb_c_first.jpg,,139197,prediction_trial,19,image-button-response,
1185,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-10.0-0.0,,Yes,966,,stimuli/lb_hb_c_first.jpg,,148127,prediction_trial,22,image-button-response,
1185,1_cube_black,,1,,,1,True,No,False,,1,0.0-11.0-0.0,,No,1596,,stimuli/hr_ly_c_first.jpg,,158801,prediction_trial,25,image-button-response,
1185,1_cube_black,,1,,,1,True,No,False,,0,0.0-12.0-0.0,,No,1664,,stimuli/hr_hb_c_first.jpg,,168679,prediction_trial,28,image-button-response,
1185,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-13.0-0.0,,Yes,1782,,stimuli/lb_ly_c_first.jpg,,177989,prediction_trial,31,image-button-response,
1185,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-14.0-0.0,,Yes,1728,,stimuli/lb_hb_c_first.jpg,,188889,prediction_trial,34,image-button-response,
1185,1_cube_black,,1,,,1,True,No,False,,1,0.0-15.0-0.0,,No,1774,,stimuli/hr_ly_c_first.jpg,,199617,prediction_trial,37,image-button-response,
1185,1_cube_black,,1,,,1,True,No,False,,0,0.0-16.0-0.0,,No,1361,,stimuli/hr_hb_c_first.jpg,,209443,prediction_trial,40,image-button-response,
1185,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-17.0-0.0,,Yes,1306,,stimuli/lb_ly_c_first.jpg,,218371,prediction_trial,43,image-button-response,
1185,1_cube_black,,1,,,1,True,No,False,,0,0.0-18.0-0.0,,No,2148,,stimuli/hr_hb_c_first.jpg,,229745,prediction_trial,46,image-button-response,
1185,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-19.0-0.0,,Yes,1508,,stimuli/lb_hb_c_first.jpg,,239725,prediction_trial,49,image-button-response,
1185,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-20.0-0.0,,Yes,1582,,stimuli/lb_ly_c_first.jpg,,250446,prediction_trial,52,image-button-response,
1185,1_cube_black,True,,True,"['<br><img src=stimuli/r_y_0.jpg style=width:204.8px></img', '<br><img src=stimuli/r_y_1.jpg style=width:204.8px></img', '<br><img src=stimuli/r_y_2.jpg style=width:204.8px></img', '<br><img src=stimuli/r_y_3.jpg style=width:204.8px></img']",1,,,,1,,0.0-22.0,[0],<br><img src=stimuli/r_y_1.jpg style=width:204.8px></img,12238,1,,hr_ly_c,279186,surprise_quiz,56,survey-multi-choice,
1185,1_cube_black,True,,True,"['<br><img src=stimuli/r_b_0.jpg style=width:204.8px></img', '<br><img src=stimuli/r_b_1.jpg style=width:204.8px></img', '<br><img src=stimuli/r_b_2.jpg style=width:204.8px></img', '<br><img src=stimuli/r_b_3.jpg style=width:204.8px></img']",1,,,,0,,0.0-23.0,[0],<br><img src=stimuli/r_b_0.jpg style=width:204.8px></img,5721,0,,hr_hb_c,284911,surprise_quiz,57,survey-multi-choice,
1185,1_cube_black,True,,True,"['<br><img src=stimuli/b_b_0.jpg style=width:204.8px></img', '<br><img src=stimuli/b_b_1.jpg style=width:204.8px></img', '<br><img src=stimuli/b_b_2.jpg style=width:204.8px></img', '<br><img src=stimuli/b_b_3.jpg style=width:204.8px></img']",1,,,,2,,0.0-24.0,[0],<br><img src=stimuli/b_b_2.jpg style=width:204.8px></img,6110,2,,lb_hb_c,291025,surprise_quiz,58,survey-multi-choice,
1185,1_cube_black,True,,True,"['<br><img src=stimuli/b_y_0.jpg style=width:204.8px></img', '<br><img src=stimuli/b_y_1.jpg style=width:204.8px></img', '<br><img src=stimuli/b_y_2.jpg style=width:204.8px></img', '<br><img src=stimuli/b_y_3.jpg style=width:204.8px></img']",1,,,,3,,0.0-25.0,[0],<br><img src=stimuli/b_y_3.jpg style=width:204.8px></img,5113,3,,lb_ly_c,296143,surprise_quiz,59,survey-multi-choice,
1189,1_cube_black,,0,,,1,False,No,False,,0,0.0-5.0-0.0,,Yes,5549,,stimuli/hr_hb_c_first.jpg,,53616,prediction_trial,7,image-button-response,
1189,1_cube_black,,0,,,1,False,Yes,True,,2,0.0-6.0-0.0,,No,3441,,stimuli/lb_hb_c_first.jpg,,65524,prediction_trial,10,image-button-response,
1189,1_cube_black,,1,,,1,True,No,False,,1,0.0-7.0-0.0,,No,2623,,stimuli/hr_ly_c_first.jpg,,77571,prediction_trial,13,image-button-response,
1189,1_cube_black,,1,,,1,True,No,False,,0,0.0-8.0-0.0,,No,2808,,stimuli/hr_hb_c_first.jpg,,89618,prediction_trial,16,image-button-response,
1189,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-9.0-0.0,,Yes,3154,,stimuli/lb_ly_c_first.jpg,,100700,prediction_trial,19,image-button-response,
1189,1_cube_black,,0,,,1,False,No,False,,1,0.0-10.0-0.0,,Yes,5108,,stimuli/hr_ly_c_first.jpg,,115367,prediction_trial,22,image-button-response,
1189,1_cube_black,,0,,,1,False,Yes,True,,2,0.0-11.0-0.0,,No,3016,,stimuli/lb_hb_c_first.jpg,,126767,prediction_trial,25,image-button-response,
1189,1_cube_black,,1,,,1,True,No,False,,0,0.0-12.0-0.0,,No,3521,,stimuli/hr_hb_c_first.jpg,,139321,prediction_trial,28,image-button-response,
1189,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-13.0-0.0,,Yes,2026,,stimuli/lb_ly_c_first.jpg,,149040,prediction_trial,31,image-button-response,
1189,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-14.0-0.0,,Yes,1947,,stimuli/lb_hb_c_first.jpg,,160329,prediction_trial,34,image-button-response,
1189,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-15.0-0.0,,Yes,1673,,stimuli/lb_ly_c_first.jpg,,171498,prediction_trial,37,image-button-response,
1189,1_cube_black,,1,,,1,True,No,False,,1,0.0-16.0-0.0,,No,1840,,stimuli/hr_ly_c_first.jpg,,182683,prediction_trial,40,image-button-response,
1189,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-17.0-0.0,,Yes,2458,,stimuli/lb_hb_c_first.jpg,,193650,prediction_trial,43,image-button-response,
1189,1_cube_black,,0,,,1,False,No,False,,0,0.0-18.0-0.0,,Yes,1753,,stimuli/hr_hb_c_first.jpg,,204702,prediction_trial,46,image-button-response,
1189,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-19.0-0.0,,Yes,1214,,stimuli/lb_ly_c_first.jpg,,213464,prediction_trial,49,image-button-response,
1189,1_cube_black,,0,,,1,False,No,False,,1,0.0-20.0-0.0,,Yes,1159,,stimuli/hr_ly_c_first.jpg,,224182,prediction_trial,52,image-button-response,
1189,1_cube_black,True,,True,"['<br><img src=stimuli/b_y_0.jpg style=width:288px></img', '<br><img src=stimuli/b_y_1.jpg style=width:288px></img', '<br><img src=stimuli/b_y_2.jpg style=width:288px></img', '<br><img src=stimuli/b_y_3.jpg style=width:288px></img']",1,,,,3,,0.0-22.0,[0],<br><img src=stimuli/b_y_3.jpg style=width:288px></img,7244,3,,lb_ly_c,242677,surprise_quiz,56,survey-multi-choice,
1189,1_cube_black,True,,True,"['<br><img src=stimuli/b_b_0.jpg style=width:288px></img', '<br><img src=stimuli/b_b_1.jpg style=width:288px></img', '<br><img src=stimuli/b_b_2.jpg style=width:288px></img', '<br><img src=stimuli/b_b_3.jpg style=width:288px></img']",1,,,,2,,0.0-23.0,[0],<br><img src=stimuli/b_b_2.jpg style=width:288px></img,4676,2,,lb_hb_c,247356,surprise_quiz,57,survey-multi-choice,
1189,1_cube_black,True,,True,"['<br><img src=stimuli/r_b_0.jpg style=width:288px></img', '<br><img src=stimuli/r_b_1.jpg style=width:288px></img', '<br><img src=stimuli/r_b_2.jpg style=width:288px></img', '<br><img src=stimuli/r_b_3.jpg style=width:288px></img']",1,,,,0,,0.0-24.0,[0],<br><img src=stimuli/r_b_0.jpg style=width:288px></img,3362,0,,hr_hb_c,250721,surprise_quiz,58,survey-multi-choice,
1189,1_cube_black,True,,True,"['<br><img src=stimuli/r_y_0.jpg style=width:288px></img', '<br><img src=stimuli/r_y_1.jpg style=width:288px></img', '<br><img src=stimuli/r_y_2.jpg style=width:288px></img', '<br><img src=stimuli/r_y_3.jpg style=width:288px></img']",1,,,,1,,0.0-25.0,[0],<br><img src=stimuli/r_y_1.jpg style=width:288px></img,4124,1,,hr_ly_c,254848,surprise_quiz,59,survey-multi-choice,
1115,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-5.0-0.0,,Yes,4421,,stimuli/lb_ly_c_first.jpg,,658947,prediction_trial,11,image-button-response,
1115,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-6.0-0.0,,Yes,5929,,stimuli/lb_hb_c_first.jpg,,675044,prediction_trial,14,image-button-response,
1115,1_cube_black,,1,,,1,True,No,False,,0,0.0-7.0-0.0,,No,2337,,stimuli/hr_hb_c_first.jpg,,686413,prediction_trial,17,image-button-response,
1115,1_cube_black,,1,,,1,True,Yes,True,,2,0.0-8.0-0.0,,Yes,2398,,stimuli/lb_hb_c_first.jpg,,696221,prediction_trial,20,image-button-response,
1115,1_cube_black,,1,,,1,True,No,False,,0,0.0-9.0-0.0,,No,4916,,stimuli/hr_hb_c_first.jpg,,710126,prediction_trial,23,image-button-response,
1115,1_cube_black,,1,,,1,True,Yes,True,,3,0.0-10.0-0.0,,Yes,1970,,stimuli/lb_ly_c_first.jpg,,719502,prediction_trial,26,image-button-response,
