workerid,proliferate.condition,accuracy,accuracy_bool,accuracy_finish_line,age,bonus,choices,condition,correct,correct_response,crosses,end_posision,end_position,ethnicity,failed_audio,failed_images,failed_video,feedback,gender,internal_node_id,overall_accuracy,question_order,race,response,rt,selected_position,stimulus,success,surprise_setup,time_elapsed,timeout,trial,trial_index,trial_type,view_history,error
1415,4_ramp_yellow,,,,,,,4,,,,,,,[],[],[],,,0.0-0.0,,,,,,,,True,,1254,False,,0,preload,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-1.0,,,,,,,,True,,3972,,,1,fullscreen,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-2.0,,,,0,4751,,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,,8726,,,2,html-button-response,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-3.0-0.0,,,,,36539,,,,,45266,,instructions_pt1,3,instructions,"[{'page_index': 0, 'viewing_time': 2907}, {'page_index': 1, 'viewing_time': 6980}, {'page_index': 2, 'viewing_time': 4106}, {'page_index': 3, 'viewing_time': 2411}, {'page_index': 4, 'viewing_time': 4678}, {'page_index': 5, 'viewing_time': 10940}, {'page_index': 6, 'viewing_time': 2814}, {'page_index': 7, 'viewing_time': 1703}]",
1415,4_ramp_yellow,True,,,,,,4,,0,,,,,,,,,,0.0-3.0-1.0-0.0,,,,0,3575,,"<p> In this experiment, you will receive a bonus payment proportional to _________.</p>",,,48841,,comprehension_quiz,4,html-button-response,,
1415,4_ramp_yellow,True,,,,,,4,,1,,,,,,,,,,0.0-3.0-1.0-1.0,,,,1,1796,,You will be asked to predict whether objects _________.,,,50637,,comprehension_quiz,5,html-button-response,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-4.0,,,,0,1174,,The experiment will now begin,,,51811,,,6,html-button-response,,
1415,4_ramp_yellow,,0,,,,,4,False,Yes,True,,3,,,,,,,0.0-5.0-0.0,,,,No,7874,,stimuli/lb_ly_r_first.jpg,,,59694,,prediction_trial,7,image-button-response,,
1415,4_ramp_yellow,,,,,,,4,False,,,,,,,,,,,0.0-5.0-1.0,,,,,,,['stimuli/lb_ly_r.mp4'],,,67951,,video_trial,8,video-button-response,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-5.0-2.0,,,,0,2129,,stimuli/lb_ly_r_last.jpg,,,70081,,feedback_trial,9,image-button-response,,
1415,4_ramp_yellow,,1,,,,,4,True,Yes,True,,2,,,,,,,0.0-6.0-0.0,,,,Yes,2891,,stimuli/hr_ly_r_first.jpg,,,72973,,prediction_trial,10,image-button-response,,
1415,4_ramp_yellow,,,,,,,4,True,,,,,,,,,,,0.0-6.0-1.0,,,,,,,['stimuli/hr_ly_r.mp4'],,,80297,,video_trial,11,video-button-response,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-6.0-2.0,,,,0,1334,,stimuli/hr_ly_r_last.jpg,,,81633,,feedback_trial,12,image-button-response,,
1415,4_ramp_yellow,,0,,,,,4,False,No,False,,1,,,,,,,0.0-7.0-0.0,,,,Yes,4205,,stimuli/lb_hb_r_first.jpg,,,85839,,prediction_trial,13,image-button-response,,
1415,4_ramp_yellow,,,,,,,4,False,,,,,,,,,,,0.0-7.0-1.0,,,,,,,['stimuli/lb_hb_r.mp4'],,,93877,,video_trial,14,video-button-response,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-7.0-2.0,,,,0,1102,,stimuli/lb_hb_r_last.jpg,,,94981,,feedback_trial,15,image-button-response,,
1415,4_ramp_yellow,,1,,,,,4,True,No,False,,0,,,,,,,0.0-8.0-0.0,,,,No,2191,,stimuli/hr_hb_r_first.jpg,,,97173,,prediction_trial,16,image-button-response,,
1415,4_ramp_yellow,,,,,,,4,True,,,,,,,,,,,0.0-8.0-1.0,,,,,,,['stimuli/hr_hb_r.mp4'],,,104554,,video_trial,17,video-button-response,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-8.0-2.0,,,,0,1075,,stimuli/hr_hb_r_last.jpg,,,105631,,feedback_trial,18,image-button-response,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-9.0,,,,0,3552,," <p> Now we will ask you to make some different predictions.</p> <p>This time, we'll ask you to select one of four images that correctly shows where the block will end up.</p>",,,109183,,surprise_quiz_instructions,19,html-button-response,,
1415,4_ramp_yellow,False,,False,,,"['<br><img src=stimuli/b_y_0.jpg style=width:384px></img', '<br><img src=stimuli/b_y_1.jpg style=width:384px></img', '<br><img src=stimuli/b_y_2.jpg style=width:384px></img', '<br><img src=stimuli/b_y_3.jpg style=width:384px></img']",4,,,,3,,,,,,,,0.0-10.0,,[0],,<br><img src=stimuli/b_y_0.jpg style=width:384px></img,19388,0,,,lb_ly_r,128573,,surprise_quiz,20,survey-multi-choice,,
1415,4_ramp_yellow,False,,False,,,"['<br><img src=stimuli/r_y_0.jpg style=width:384px></img', '<br><img src=stimuli/r_y_1.jpg style=width:384px></img', '<br><img src=stimuli/r_y_2.jpg style=width:384px></img', '<br><img src=stimuli/r_y_3.jpg style=width:384px></img']",4,,,,2,,,,,,,,0.0-11.0,,[0],,<br><img src=stimuli/r_y_0.jpg style=width:384px></img,5190,0,,,hr_ly_r,133765,,surprise_quiz,21,survey-multi-choice,,
1415,4_ramp_yellow,False,,False,,,"['<br><img src=stimuli/b_b_0.jpg style=width:384px></img', '<br><img src=stimuli/b_b_1.jpg style=width:384px></img', '<br><img src=stimuli/b_b_2.jpg style=width:384px></img', '<br><img src=stimuli/b_b_3.jpg style=width:384px></img']",4,,,,1,,,,,,,,0.0-12.0,,[0],,<br><img src=stimuli/b_b_2.jpg style=width:384px></img,7462,2,,,lb_hb_r,141229,,surprise_quiz,22,survey-multi-choice,,
1415,4_ramp_yellow,False,,True,,,"['<br><img src=stimuli/r_b_0.jpg style=width:384px></img', '<br><img src=stimuli/r_b_1.jpg style=width:384px></img', '<br><img src=stimuli/r_b_2.jpg style=width:384px></img', '<br><img src=stimuli/r_b_3.jpg style=width:384px></img']",4,,,,0,,,,,,,,0.0-13.0,,[0],,<br><img src=stimuli/r_b_1.jpg style=width:384px></img,8074,1,,,hr_hb_r,149305,,surprise_quiz,23,survey-multi-choice,,
1415,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-14.0,,,,0,2074,,"<p>Thank you for participating!</p>You answered 2 out of 4 trials correctly, and will receive a $0.16 bonus.<p>Now you will complete a short survey before finishing the experiment.</p>",,,151380,,,24,html-button-response,,
1415,4_ramp_yellow,,,,56,0.16,,4,,,,,,Non-Hispanic,,,,"I looked at the size of each block, thinking that bigger blocks were more likely to be slower, and thus not cross the finish line.",Female,0.0-15.0,0.5,,White,"{'age': '56', 'race': 'White', 'gender': 'Female', 'feedback': 'I looked at the size of each block, thinking that bigger blocks were more likely to be slower, and thus not cross the finish line.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",33584,,,,,184967,,exit_survey,25,survey-html-form,,
1243,4_ramp_yellow,,,,,,,4,,,,,,,[],[],[],,,0.0-0.0,,,,,,,,True,,478,False,,0,preload,,
1243,4_ramp_yellow,,,,,,,4,,,,,,,,,,,,0.0-1.0,,,,,,,,True,,4589,,,1,fullscreen,,
