"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","prolific_study_id","prolific_session_id","condition","ramp_orientation","ramp_or_cube","rt","stimulus","response","view_history","trial","correct_response","accuracy","crosses","answer_image","correct","accuracy_bool","end_position","question_order","surprise_setup","choices","selected_position","end_posision","accuracy_finish_line","orientation","farther_color","predicted_further","predicted_direction","farther_color_generalized","relates_to","feedback","age","ethnicity","gender","race","overall_accuracy","bonus"
"true","false","[]","[]","[]","preload","0","182","0.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","12112","0.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","2","15743","0.0-2.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","3628","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","60382","0.0-3.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","44640","","","[{""page_index"":0,""viewing_time"":5241},{""page_index"":1,""viewing_time"":11936},{""page_index"":2,""viewing_time"":3004},{""page_index"":3,""viewing_time"":3353},{""page_index"":4,""viewing_time"":7705},{""page_index"":5,""viewing_time"":3770},{""page_index"":6,""viewing_time"":5883},{""page_index"":7,""viewing_time"":3747}]","instructions_pt1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","65445","0.0-3.0-1.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","5061","<p> In this experiment, you will receive a bonus payment proportional to _________.</p>","0","","comprehension_quiz","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","69044","0.0-3.0-1.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","3597","You will be asked to predict whether objects _________.","1","","comprehension_quiz","1","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","70462","0.0-4.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1415","The experiment will now begin","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","77301","0.0-5.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","6838","<img src=stimuli/b_y_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","No","","prediction_trial","Yes","","true","[""stimuli/b_y_f_4.jpg""]","false","0","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","79397","0.0-5.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2092","<img src=stimuli/b_y_f_4.jpg style=width:1007.9999999999999px></img<br> <center><p> &#10060 Incorrect! &#10060 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","83434","0.0-6.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","4035","<img src=stimuli/b_b_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","No","","false","[""stimuli/b_b_f_2.jpg""]","false","0","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","84637","0.0-6.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1201","<img src=stimuli/b_b_f_2.jpg style=width:1007.9999999999999px></img<br> <center><p> &#10060 Incorrect! &#10060 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","87067","0.0-7.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2428","<img src=stimuli/b_y_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","Yes","","true","[""stimuli/b_y_f_4.jpg""]","true","1","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","89506","0.0-7.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2437","<img src=stimuli/b_y_f_4.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","93278","0.0-8.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","3771","<img src=stimuli/r_b_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","No","","prediction_trial","No","","false","[""stimuli/r_b_f_1.jpg""]","true","1","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","95480","0.0-8.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2201","<img src=stimuli/r_b_f_1.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","97506","0.0-9.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2024","<img src=stimuli/b_b_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","No","","false","[""stimuli/b_b_f_2.jpg""]","false","0","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","98699","0.0-9.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1192","<img src=stimuli/b_b_f_2.jpg style=width:1007.9999999999999px></img<br> <center><p> &#10060 Incorrect! &#10060 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","17","101332","0.0-10.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2631","<img src=stimuli/r_y_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","Yes","","true","[""stimuli/r_y_f_3.jpg""]","true","1","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","102873","0.0-10.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1539","<img src=stimuli/r_y_f_3.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","19","104448","0.0-11.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1573","<img src=stimuli/b_b_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","No","","prediction_trial","No","","false","[""stimuli/b_b_f_2.jpg""]","true","1","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","106641","0.0-11.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2191","<img src=stimuli/b_b_f_2.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","21","109446","0.0-12.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2804","<img src=stimuli/b_y_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","Yes","","true","[""stimuli/b_y_f_4.jpg""]","true","1","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","22","112311","0.0-12.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2864","<img src=stimuli/b_y_f_4.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","23","114392","0.0-13.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2079","<img src=stimuli/r_b_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","No","","prediction_trial","No","","false","[""stimuli/r_b_f_1.jpg""]","true","1","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","24","115631","0.0-13.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1237","<img src=stimuli/r_b_f_1.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","25","117836","0.0-14.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2203","<img src=stimuli/r_y_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","Yes","","true","[""stimuli/r_y_f_3.jpg""]","true","1","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","26","119297","0.0-14.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1460","<img src=stimuli/r_y_f_3.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","27","121042","0.0-15.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1743","<img src=stimuli/b_y_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","Yes","","true","[""stimuli/b_y_f_4.jpg""]","true","1","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","28","121998","0.0-15.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","954","<img src=stimuli/b_y_f_4.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","29","123304","0.0-16.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1304","<img src=stimuli/b_b_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","No","","false","[""stimuli/b_b_f_2.jpg""]","false","0","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","30","124236","0.0-16.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","931","<img src=stimuli/b_b_f_2.jpg style=width:1007.9999999999999px></img<br> <center><p> &#10060 Incorrect! &#10060 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","31","125339","0.0-17.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1101","<img src=stimuli/r_b_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","No","","false","[""stimuli/r_b_f_1.jpg""]","false","0","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","32","126071","0.0-17.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","730","<img src=stimuli/r_b_f_1.jpg style=width:1007.9999999999999px></img<br> <center><p> &#10060 Incorrect! &#10060 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","33","127083","0.0-18.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","1011","<img src=stimuli/r_y_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","Yes","","true","[""stimuli/r_y_f_3.jpg""]","true","1","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","34","128005","0.0-18.0-1.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","920","<img src=stimuli/r_y_f_3.jpg style=width:1007.9999999999999px></img<br> <center><p> &#9989 Correct! &#9989 </p><c/enter>","0","","feedback_trial","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","35","130267","0.0-19.0-0.0","668c88b07b2178a2ead02f1f","66672ccc8d46f9e0fed8103f","66952ced0c7166a1c2e0f584","3","forward","ramp","2260","<img src=stimuli/r_b_f.jpg style=width:1007.9999999999999px></img<br> <center><p> Will the cube end up to the right of the finish line? </p><c/enter>","Yes","","prediction_trial","No","","false","[""stimuli/r_b_f_1.jpg""]","false","0","1","","","","","","","","","","","","","","","","","","",""
